date,location,indicator,min,median,mean,sd,max
2019-10-04,Lions Sight,pm10,31.25,37.85,37.74523809523809,2.695686589809022,43
2019-10-04,Lions Sight,pm2.5,16.7,18.6,18.678571428571427,0.9878728952364556,20.3
2019-10-04,Malaria,pm10,43.35,51.95,55.50238095238095,10.207013228541395,72.35
2019-10-04,Malaria,pm2.5,11.05,12.4,12.55952380952381,0.8465546420076862,14.35
2019-10-04,Ward 6B,pm10,51.7,152.5,167.67619047619047,104.6939869560898,415.6
2019-10-04,Ward 6B,pm2.5,31.7,74.4,79.56666666666668,43.124561833522826,189
2019-10-05,Lighthouse Clinic,pm10,26.4,36.5,45.505109489051094,38.200607423504266,328.1
2019-10-05,Lighthouse Clinic,pm2.5,15.3,19.95,23.08248175182482,14.707769294463034,133.95
2019-10-05,Lions Sight,pm10,27.45,42.225,43.374212598425196,7.672523893435243,73.4
2019-10-05,Lions Sight,pm2.5,16.35,20.55,20.419488188976377,1.8647881689027606,24.5
2019-10-05,Malaria,pm10,30.9,44.4,45.3298418972332,6.784310855527496,73.4
2019-10-05,Malaria,pm2.5,10.1,14,16.017588932806326,4.498584093492776,24.5
2019-10-05,Mercy James,pm10,20.25,28.275,28.65983146067416,4.704787977681549,41.2
2019-10-05,Mercy James,pm2.5,12.8,15.3,16.225842696629215,2.581459451873984,22.2
2019-10-05,Ward 6B,pm10,30.5,89.7,122.48577235772359,91.71461070710669,431
2019-10-05,Ward 6B,pm2.5,21.8,47.325,63.042479674796745,41.32952364649905,220.6
2019-10-06,Lighthouse Clinic,pm10,25.95,35.75,60.18205128205129,116.26560434046056,889.5
2019-10-06,Lighthouse Clinic,pm2.5,16.5,19.3,28.964957264957267,48.91373884326845,374
2019-10-06,Lions Sight,pm10,23.6,42.525,42.810629921259846,6.099005717973699,59.25
2019-10-06,Lions Sight,pm2.5,13.6,21.75,21.821456692913387,2.6576986099404007,29.9
2019-10-06,Malaria,pm10,23.6,42.525,42.810629921259846,6.099005717973699,59.25
